,,,,zone,def,min,max,emotion,icon,,,,,,,,,,,,,,
#,Health,Health,"A general indicator for the health of your citizens that measures not just raw lifespan, but also fitness and the general wellbeing of people.",PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_health.dds,#,#,"Retired_freq,-0.2+(0.4*x),8","WorkerProductivity,-0.15+(0.15*x)","Immigration,0.1*(x^6)",,,,,,,,,
#,Education,Education,"A measurement of the education level of the average citizen. Not only literacy, but numeracy and general understanding of everything from history to IT and science.",PUBLICSERVICES,0.18,0,1,HIGHGOOD,icons_education.dds,#,#,"WorkerProductivity,-0.2+(x*0.4)","RacialTension,0-(0.08*x)","CrimeRate,-0.12*(x^6)","ViolentCrimeRate,-0.12*(x^4)",,,,,,,,
#,CrimeRate,Crime,"An indicator of the level of general non violent crime in your nation. This includes crimes such as car crime, burglary etc., but also covers fraud and other similar crimes.",LAWANDORDER,0.55,0,1,HIGHBAD,icons_crimerate.dds,#,#,"_All_,0-(0.13*x)","GDP,0-(0.08*x)",,,,,,,,,,
#,ViolentCrimeRate,Violent Crime,"A more worrying indicator than the overall crime level, this measures the frequency of violent crimes such as murder, rape and muggings. Violent crime is a worry for everyone in the country.",LAWANDORDER,0.57,0,1,HIGHBAD,icons_violentcrimerate.dds,#,#,"_All_,0-(0.16*x)","Retired,0-(0.18*x)","_global_liberalism,0.05-(0.1*x)",,,,,,,,,
#,PovertyRate,Poverty,"One of the most widely used measures of comparison between nations. The poverty level is periodically reassessed, but all nations should strive to get their poverty rate as low as possible.",WELFARE,0.64,0,1,HIGHBAD,icons_povertyrate.dds,#,#,"Poor,0.3-(x^2)","CrimeRate,0.3*(x^2),4","RacialTension,0+(0.22*x),2","_global_socialism,0.2*(x^5)","Socialist,-0.35*(x^2)",,,,,,,
#,Equality,Equality,"There are many ways to measure equality. Conservatives talk of equality of opportunity, socialists talk of equality of outcome. This is just a simple measurement of the distribution of wealth (financial equality of outcome).",WELFARE,0.4,0,1,HIGHGOOD,icons_equality.dds,#,#,"Socialist,-0.2+(0.4*x)","CrimeRate,0.1-(x*-0.22)",,,,,,,,,,
#,Environment,The Environment,"A general measurement of the quality of the environment, including air quality, but also measuring noise pollution, litter, water quality and many other measures of pollution.",PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_environment.dds,#,#,"Environmentalist,-0.4+(0.8*x)",,,,,,,,,,,
#,WorkingWeek,Working Week,"The number of hours worked on average by your citizens in a week. In a fluctuating economy, this may vary from the contracted hours as people give into pressure to work unpaid or paid overtime to keep their jobs. To employees, shorter hours are seen as a good thing.",ECONOMY,0.5,0,1,UNKNOWN,icons_workingweek.dds,#,#,"TradeUnionist,0.1-(0.1*x)","Health,-0.24*(x^8)",,,,,,,,,,
#,Technology,Technology,"A general index of the level of technological sophistication of the country, including the percentage of citizens with internet access, and high speed broadband, as well as the technological understanding of students, and the capabilities of industry. A high technological index boosts international competitiveness. Tax incentives may be required to attract high tech industry. ",ECONOMY,0.5,0,1,HIGHGOOD,icons_Technology.dds,#,#,"WorkerProductivity,0.15*(x^4)","Education,-0.1+(0.16*x)","Unemployment,0.2*(x^8),2","Retired_freq,0.10*(x^4),16",,,,,,,,
#,CarUsage,Car Usage,"A measure of how many miles per year the average household travels by car. High car usage can cause pollution, but is inevitable in a booming economy with poor provision of public transport.",TRANSPORT,0.6,0,1,UNKNOWN,icons_carusage.dds,#,"GDP,0+(0.4 * x)",#,"Environment,0-(0.22*x)","Motorist_freq,-0.4+(0.8*x)","CO2Emissions,0+(0.5*x)","OilDemand,0+(0.3*x)",,,,,,,
#,RailUsage,Rail Usage,"A measure of the amount of journeys that take place by rail. Supporters of public transport will look for high rail usage, in order to reduce both traffic congestion and also pollution. Rail travel can be very efficient in highly populated countries, but improvements to rail  infrastructure can be extremely expensive and take a long time.",TRANSPORT,0.25,0,1,UNKNOWN,icons_railusage.dds,#,"GDP,0+(0.1 * x)",#,"CarUsage,0-(0.35*x)","BusUsage,0-(0.25*x)","OilDemand,0+(0.12*x)",,,,,,,,
#,BusUsage,Bus Usage,"A measure of the amount of journeys that are taken by bus, as opposed to car, air or rail. Buses are more environmentally friendly than cars, so are seen as a way to reduce pollution, as well as reduce traffic congestion.",TRANSPORT,0.15,0,1,UNKNOWN,icons_bususage.dds,#,"GDP,0+(0.1 * x)",#,"CarUsage,0-(0.35*x)","RailUsage,0-(0.28*x)","OilDemand,0+(0.13*x)",,,,,,,,
#,WorkerProductivity,Productivity,"The average output in financial terms of a typical citizen. Some nations have more productive employees than others, due to such factors as work ethic, technical knowledge and workplace hours.",ECONOMY,0.5,0,1,HIGHGOOD,icons_workerproductivity.dds,#,#,"GDP,-0.22+(x*0.44)","InternationalTrade,-0.2+(0.4*x),4","Unemployment,-0.08+(0.16*x),2",,,,,,,,,
#,Unemployment,Unemployment,At its simplest this is a count of the percentage of your population who aren't in gainful employment. Adjusted to omit those citizens who are not actively seeking work for one reason or another.,ECONOMY,0.4,0,1,HIGHBAD,icons_unemployment.dds,#,#,"WorkingWeek,0+(0.2*x)","TradeUnionist,0-(0.21*x)","Commuter_freq,0-(0.28*x)","RacialTension,0.7*(x^3),2","PovertyRate,0.24*(x^8)","CrimeRate,0.17*(x^8)","WorkerProductivity,-0.215+(x*0.3)","Wages,0.2-(0.4*x)","Poor,-0.10*(x^2)","Immigration,-0.2*(x^2)+0.05","Socialist,-0.2*(x^4)",
#,CO2Emissions,CO2 Emissions,"Amount of carbon we put into the atmosphere. Environmentalists and the majority of scientists agree that limiting our CO2 Emissions is a vital step we should take to fight climate change. Failing to control our emissions can lower our international standing and affect foreign relations. A booming economy, if unchecked, will produce more carbon, as will high levels of car and air travel. There are a vast range of different strategies that can be employed to minimize the level of CO2 emissions.",ECONOMY,0.2,0,1,HIGHBAD,icons_co2.dds,#,#,"ForeignRelations,0-(0.1*x)","Environmentalist,0.1+(x^2)*-0.7",,,,,,,,,,
#,AirTravel,Air Travel,"Air travel is often strongly linked to a country's economy, and thus GDP. Wealthier citizens take more foreign holidays, and a richer economy will mean more business air travel, and more products shipped by air freight. The amount of air travel is very price sensitive, so changes in fuel costs, taxes and other charges can have a major effect.",TRANSPORT,0,0,1,UNKNOWN,icons_airtravel.dds,#,#,"CO2Emissions,0.32*(x^2)","OilDemand,0+(0.1*x)","Environment,-0.14*(x^3)","RailUsage,0-(0.04*x)",,,,,,,,
#,Immigration,Immigration,"Immigration measures the number of people entering this country, both legally and illegally, with the intent of making this their new home. Immigration is generally caused by a strong economy, as those living in poorer countries seek out employment and a higher standard of living. Immigration can be reduced by border controls, and citizenship tests. Too much immigration too fast can lead to racial tensions developing.",FOREIGNPOLICY,1,0,1,UNKNOWN,icons_immigration.dds,#,#,"RacialTension,1.4*(x^3),8","Unemployment,0.3*(x^3),2","GDP,-0.035+(0.035*x)","EthnicMinorities_freq,-0.7+(1.4*x),8","Wages,-0-(0.22*x)","StateHealthService_cost,0+(0.07*x)","StateHousing_cost,0+(0.07*x)",,,,,
#,EnergyEfficiency,Energy Efficiency,"This is a general measure of how efficiently the country uses its energy resources. Low car energy standards, and a lack of investment in new technology will mean a wasteful economy, and in turn, higher demand for fossil fuels such as oil. Reducing energy usage has become more urgent in recent times due to concerns about climate change, and the drive to reduce CO2 emissions.",ECONOMY,0.5,0,1,HIGHGOOD,icons_energyefficiency.dds,#,#,"GDP,0+(0.05*x)","CO2Emissions,0-(0.2*x)","OilDemand,0-(0.1*x)",,,,,,,,,
#,RacialTension,Racial Tension,"The degree to which there is unease between different nationalities and cultures. Sudden, uncontrolled immigration can sometimes lead to racial tensions, which can in the worst case, result in violent clashes.",FOREIGNPOLICY,0,0,1,HIGHBAD,icons_racialtension.dds,#,#,"ViolentCrimeRate,0.45*(x^6)","_Terrorism,-0.2+(x^4)","Patriot_freq,-0.12+(0.24*x)","Liberal_freq,0.1-(0.2*x)","EthnicMinorities,0-(0.4*x)",,,,,,,
#,ForeignRelations,Foreign Relations,"Foreign relations are important for two reasons, firstly as a way of preventing disputes escalating into wars or terrorism which may threaten our citizens, and secondly, as a way to ensure trade relations are good and that we benefit economically from trade and tourism with other nations.",FOREIGNPOLICY,0.14,0,1,HIGHGOOD,icons_foreignrelations.dds,#,#,"RacialTension,0.3-(0.6*x)","_Terrorism,0.24-(x*1)","Patriot_freq,0.2-(0.4*x)","Immigration,-0.1+(0.2*x)",,,,,,,,
#,InternationalTrade,International Trade,"International trade is generally good for an economy, due to the law of comparative advantage, effectively helping each country to produce what it is best at. Trade can be restricted by political problems with other countries, where arguments can lead to import tariffs and sanctions. In some cases, countries also indulge in 'protectionism' to defend politically sensitive industries against foreign competition.",FOREIGNPOLICY,0.5,0,1,HIGHGOOD,icons_internationaltrade.dds,#,"ForeignRelations,-0.2+(0.2*x),4",#,"GDP,0+(0.15*x)","AirTravel,0+(0.2*x)",,,,,,,,,
#,OilDemand,Oil Demand,"Our demand for oil comes from industry, road travel and air travel. The more our citizens fly and drive, the greater our demand for oil, although energy efficiency measures and hybrid cars can reduce this somewhat, as can investments in cleaner industry and renewable energy sources.",TRANSPORT,0.1,0,1,UNKNOWN,icons_oildemand.dds,#,"_globaleconomy_,-0.1+(0.2*x)",#,"OilPrice,0.+(0.5*x)",,,,,,,,,,
#,OilSupply,Oil Supply,"Our oil supplies can only really be expanded by opening up new parts of our territory for drilling, which can be politically and ecologically difficult. Together with the oil demand, the supply sets the price, which has a strong effect on our economy.",TRANSPORT,0.5,0,1,UNKNOWN,icons_oilsupply.dds,#,"_year,0-(0.015*x)",#,"OilPrice,0-(0.5*x)",,,,,,,,,,
#,OilPrice,Oil Price,"The oil price affects the economy, with higher prices lowering our general standard of living, although this will be mitigated by energy efficiency measures. A lower level of oil dependence will also make us less sensitive to global oil price shocks caused by political instabilities.",TRANSPORT,0.5,0,1,UNKNOWN,icons_oilprice.dds,#,#,"GDP,0.22-(0.4*x)","Motorist,0.3-(0.6*x),2","Motorist_income,0.2-(0.4*x),2","Motorist_freq,0.2-(0.4*x),12",,,,,,,,
#,_Terrorism,Terrorism,hidden,HIDDEN,0.5,0,1,HIGHBAD,icons_crimerate.dds,#,"_year,0+(0.01*x)",#,,,,,,,,,,,
#,_LowIncome,Poor Earnings,"The effective income of those people who are on low (or no) earnings in our society. If this value rises high enough (through benefits and tax exemptions for the poor), then more people will move out of poverty and in to the middle income group. Progressive taxation, combined with well-funded public services and state benefits are the most popular ways to 'lift people' out of poverty.",ECONOMY,0,-1,1,HIGHGOOD,icons_lowincome.dds,#,#,"CarUsage,0.1*(x^3)","AirTravel,0.1*(x^4)","BusUsage,0-(0.05*x)",,,,,,,,,
#,_MiddleIncome,Middle Earnings,"The effective income of those people on average earnings, not wealthy or poor. This is generally the largest group of people in the economy, so policies which affect this value can be big vote deciders. Middle income earners are expected to own their own homes (or be buying them), and often own one or more cars. They probably take holidays abroad at least once a year. Taxes that affect any of these will hit these people hardest, and may push some of them down into poverty",ECONOMY,0,-1,1,HIGHGOOD,icons_middleincome.dds,#,#,"CarUsage,0.2*(x^3)","AirTravel,0.2*(x^3)",,,,,,,,,,
#,_HighIncome,High Earnings,"The effective income of the top earners in society. It is easy to reduce this by punitive taxes on the wealthy, their property, inheritance and activities such as air travel that they often indulge in. It is also possible to benefit them by offering tax exemptions and loopholes for the rich, or by favoring regressive taxation such as sales tax, rather than progressive income taxes.",ECONOMY,0,-1,1,HIGHGOOD,icons_highincome.dds,#,#,"CarUsage,0.2*(x^2)","AirTravel,0.3*(x^2)",,,,,,,,,,
#,GDP,GDP,"The Gross Domestic product of your country. This is defined as The total market value of all the goods and services produced within the nation in a year. This is a good general-purpose measure of the strength of your economy, and the nations overall wealth. One of the contributing factors is the global economic cycle, which tends to be cyclical, and is beyond your control.",ECONOMY,0.35,0,1,HIGHGOOD,icons_gdp.dds,#,"_globaleconomy_,0+(0.3 * x)",#,"Capitalist,-0.2+(0.65*x)","CO2Emissions,0+(0.6*x)","AirTravel,0+(1.0*x)","Immigration,0.98*(x^4),4","Unemployment,0.9-(0.7*x)","Environment,-0.84*(x^2)","Equality,-0.15*(x^4)","OilDemand,0+(0.4*x)",,,
#,PrivateHealthcare,Private Health Care,"The size of the private healthcare sector. This will arise naturally from supply and demand, and be boosted in boom times, but can be reduced by providing a decent state health care system instead. The downside with private health care is that the poorest in society can not afford it, and may also avoid treatment until it becomes essential in order to save costs.",PUBLICSERVICES,0.6,0,1,UNKNOWN,icons_privatehealth.dds,#,"StateHealthService,0-(0.85*x),4","GDP,0+(0.4*x),4",#,"Health,0.3*(x^0.6),4","Equality,0-(0.1*x),4","_LowIncome,0-(0.15*x),4","_MiddleIncome,0-(0.08*x),4","Retired,0.00+(0.16*x)","Unemployment,0-(0.07*x)","TradeUnionist,0-(0.1*x)",,,
#,PrivateHousing,Private Housing,"The size of the private housing sector. Private housing will respond naturally to supply and demand, but can be artificially deflated by the supply of subsidized state housing, or rent controls on the private sector.",WELFARE,0.5,0,1,UNKNOWN,icons_privatehousing.dds,#,"StateHousing,0-(0.8*x),4","GDP,0+(0.5*x),4",#,"_LowIncome,0-(0.17*x)","_MiddleIncome,0-(0.08*x)","Equality,0-(0.1*x),4",,,,,,,
#,PrivateSchools,Private Schools,"The size of the private education sector. This will contract if the state provides a high quality system of state education. In tough economic times, there will be many in society who cannot afford private education.",PUBLICSERVICES,0.5,0,1,UNKNOWN,icons_privateschools.dds,#,"StateSchools,0-(0.8*x),4","GDP,0+(0.5*x),4",#,"_LowIncome,0-(0.17*x)","_MiddleIncome,0-(0.08*x)","Equality,0-(0.1*x),8","Education,0.30*(x^0.6)+0.07,8","Unemployment,0-(0.13*x)","TradeUnionist,0-(0.1*x)",,,,
#,PrivatePensions,Private Pensions,"The size of the private pension sector. This may run alongside a minimal state pension, or completely replace it in countries that are happy to leave retirement planning to individuals. Many poor members of society will not have the means to save adequately for their retirement without state help.",WELFARE,0.5,0,1,UNKNOWN,icons_privatepensions.dds,#,"StatePensions,0-(0.8*x),4","GDP,0+(0.5*x),4",#,"_MiddleIncome,0-(0.10*x)","Equality,0-(0.2*x),4","Retired,0.2+(0.55*x)","Retired_income,0.1+(0.2*x)",,,,,,
#,TobaccoUse,Tobacco Usage,"The popularity of smoking in your population. Smoking obviously reduces the health levels of your population, and may therefore affect their productivity. Plus, smoking will place extra burdens on the cost of healthcare. ",WELFARE,0.5,0,1,HIGHBAD,icons_tobaccotax.dds,#,"GDP,0+(0.4 * x)",#,"Health,0-(0.06*x),12","StateHealthService_cost,0+(0.06*x)",,,,,,,,,
#,AlcoholConsumption,Alcohol Consumption,"The level of alcohol consumption in your country.  A high level of consumption will mean the state earns a considerable sum from any alcohol taxes, but it can also lead to increased crime, antisocial behavior and a drop in both health levels and productivity.",WELFARE,0.4,0,1,HIGHBAD,icons_alcohollaw.dds,#,"GDP,0+(0.4 * x)","PovertyRate,0.2*(x^2)","Unemployment,0.2*(x^2)",#,"Health,0-(0.03*x),12","WorkerProductivity,0-(0.17*x)","CrimeRate,0.0+(0.06*x)","ViolentCrimeRate,0.0+(0.11*x)","StateHealthService_cost,0+(0.12*x)",,,,
#,TrafficCongestion,Traffic Congestion,"The level of traffic congestion on your roads. This is chiefly driven by private cars, so reducing car usage will prevent this becoming a problem. Travel by bus or train is far more efficient and will help reduce congestion, even in boom times.",TRANSPORT,0.25,0,1,HIGHBAD,icons_trafficcongestion.dds,#,"CarUsage,0+(x^2)",#,"Commuter,0.4-(0.80*x)","Motorist,0.3-(0.6*x)","Motorist_freq,0.2-(0.2*x)","GDP,-0.10*(x^2)","CO2Emissions,0+(0.1*x)",,,,,,
#,Tourism,Tourism,"The size of the tourism industry. Tourists will prefer to visit countries with no major social problems, and also prefer low sales taxes. A decent reputation for your country overseas will also boost tourism. Generally, tourism is seen as positive as it brings money into the economy. Encouraging tourism may partially depend on low air travel costs, which can have implications for pollution and CO2 emissions.",ECONOMY,0.35,0,1,HIGHGOOD,icons_tourism.dds,#,"AirlineTax,0-(0.3*x)","AntisocialBehaviour,0-(0.1*x)","CrimeRate,0-(0.1*x),8","StreetGangs,0-(0.3*x)","ViolentCrimeRate,0-(0.2*x),8","ForeignRelations,0+(0.4*x),4","BorderControls,0.0-(0.22*x)","SalesTax,0-(0.05*x)","_globaleconomy_,0+(0.25*x)","ClassWarfare,0-(0.4*x)","Environment,-0.1+(0.1*x),8",#,"GDP,0+(0.12*x)"
#,Wages,Wages,"The average wage level in your country. Wages are generally set by supply and demand, which roughly equates to the labor supply and the state of the economy (GDP). Immigration raises the labor supply, reducing wages, and high unemployment will also put downward pressure on wages. Labor laws, including minimum wages can push wages artificially higher, although this will have side-effects.",ECONOMY,0.5,0,1,UNKNOWN,icons_wages.dds,#,#,"_LowIncome,-0.5+(1.0*x)","_MiddleIncome,-0.3+(0.6*x)","WorkerProductivity,0.2-(0.4*x)",,,,,,,,,
#,LegalDrugConsumption,Legal Drug Consumption,"The amount of legal narcotics such as Cannabis, Heroin and Ecstasy that are consumed in the country. Obviously if these drugs are not legal, this value will be zero. As these drugs are a commodity available on the free market, their consumption will be affected by the GDP of the country as well as the extent to which they are legal. Some governments may wish to use consumption of them as a target for taxation.",WELFARE,0,0,1,UNKNOWN,icons_legaldrugconsumption.dds,#,#,"Health,-0.22*(x^2)","WorkerProductivity,0.00-(0.04*x)","AlcoholConsumption,0-(0.3*x),2",,,,,,,,,
#,CurrencyStrength,Currency Strength,"The relative strength of your currency on the global markets. A strong economy will raise this value, which will make exports less competitive, and reduce export income, as well as reducing the spending power of tourists, and vice versa.",ECONOMY,0.5,0,1,UNKNOWN,icons_currency.dds,#,"GDP,-0.5+(1*x),2",#,"InternationalTrade,0.2-(0.4*x),4","Tourism,0.12-(0.24*x),2",,,,,,,,,
